"","X","ID","Genotype","Treatment","Date","LWP","SWP","PD","LWP.area","SWP.area","PD.area","species_geno"
"165",411,"9035.4","9035","Drought","12/11-18","14,000","12,9",8.9,49.28388889,52.781875,89.92479167,"9035"
"166",412,"9035.6","9035","Control","12/11-18","11,000","10,9",3.7,88.49034722,237.7349306,200.3682639,"9035"
"167",413,"b42-34.8","b42-34","Control","12/11-18","12,000","9,8",7.4,49.34090278,45.60729167,42.17541667,"b42-34"
"168",414,"NY1.7","NY1","Control","12/11-18","14,800","13,0",6.2,58.86895833,80.93138889,71.29395833,"NY1"
"169",416,"T48.5","T48","Drought","12/11-18","11,500","12,5",8.5,75.27201389,32.44097222,43.908125,"T48"
"170",417,"T48.9","T48","Control","12/11-18","11,000","12,4",6.6,49.27409722,78.83902778,76.03472222,"T48"
"171",418,"T52.9","T52","Control","12/11-18","11,000","11,4",7.7,64.38451389,53.82173611,49.63534722,"T52"
"172",419,"TX6704.10","TX6704","Control","12/11-18","10,000","12,1",6.3,56.88291667,49.89222222,82.38465278,"TX6704"
"173",420,"TXNM0821.6","TXNM0821","Control","12/11-18","13,000","12,0",6.3,60.43590278,86.43868056,110.0665278,"TXNM0821"
"174",421,"V60-96.10","V60-96","Control","12/11-18","12,000","11,6",6.1,80.83868056,43.8625,77.38125,"V60-96"
"175",422,"V60-96.5","V60-96","Drought","12/11-18","13,500","13,6",12.1,22.22395833,34.83131944,45.08770833,"V60-96"
"176",423,"9031.10","9031","Control","12/11-18",NA,"13,6",8.7,NA,46.12208333,46.72618056,"9031"
"177",424,"b42-34.2","b42-34","Drought","12/11-18",NA,"14,0",11.2,NA,28.35506944,40.54125,"b42-34"
"178",425,"TX6704.1","TX6704","Drought","12/11-18",NA,"14,3",7.5,NA,12.47861111,47.91465278,"TX6704"
"179",426,"9031.4","9031","Drought","12/11-18",NA,"11,6",12.8,47.42298611,47.26534722,40.65194444,"9031"
"180",428,"TX6704.3","TX6704","Drought","12/11-18",NA,"12,9",9.1,29.96604167,33.51409722,37.96347222,"TX6704"
"181",429,"TXNM0821.3","TXNM0821","Drought","12/11-18",NA,"10,0",6.2,61.13180556,54.73027778,50.24611111,"TXNM0821"
"182",430,"Vru42.5","Vru42","Drought","12/11-18",NA,"12,9",8.3,27.160625,23.6775,33.64340278,"Vru42"
"183",431,"9031.2","9031","Drought","12/11-18",NA,"12,4",5,40.46673611,48.209375,57.53423611,"9031"
"184",432,"9035.1","9035","Drought","12/11-18",NA,"10,8",7.6,129.8151389,88.54458333,98.43180556,"9035"
"185",433,"b42-34.5","b42-34","Drought","12/11-18",NA,"12,1",9.7,44.41715278,38.71847222,44.25076389,"b42-34"
"186",434,"T52.4","T52","Drought","12/11-18",NA,"9,8",9.2,69.38486111,59.62069444,71.77458333,"T52"
"187",435,"TX6704.5","TX6704","Drought","12/11-18",NA,"11,1",9.4,19.31243056,25.21652778,54.06097222,"TX6704"
"188",436,"9031.6","9031","Control","12/11-18",NA,"14,4",7.3,NA,43.99486111,NA,"9031"
"189",438,"9035.9","9035","Control","12/11-18",NA,"10,9",7,NA,170.6364583,218.4269444,"9035"
"190",440,"TX6704.7","TX6704","Control","12/11-18",NA,"14,1",10.8,NA,33.20013889,NA,"TX6704"
"191",441,"Vru42.3","Vru42","Drought","12/11-18",NA,"14,3",6,NA,19.05694444,34.80506944,"Vru42"
"192",442,"V60-96.4","V60-96","Drought","12/11-18",NA,"14,5",11.9,43.39263889,51.40618056,57.25,"V60-96"
"193",443,"T52.2","T52","Drought","12/11-18",NA,"14,0",11.7,39.73111111,39.36305556,29.42645833,"T52"
"194",444,"9018.5","9018","Drought","11/11-13",NA,NA,9.1,NA,NA,NA,"9018"
"195",445,"9018.6","9018","Control","11/11-13",NA,NA,6.3,NA,NA,NA,"9018"
"196",446,"9031.10","9031","Control","11/11-13",NA,NA,7.2,NA,NA,NA,"9031"
"197",447,"9031.11","9031","Control","11/11-13",NA,NA,11.2,NA,NA,NA,"9031"
"198",448,"9031.5","9031","Drought","11/11-13",NA,NA,8.9,NA,NA,NA,"9031"
"199",449,"b40-14.1","b40-14","Drought","11/11-13",NA,NA,7.3,NA,NA,NA,"b40-14"
"200",450,"b40-14.10","b40-14","Control","11/11-13",NA,NA,6.1,NA,NA,NA,"b40-14"
"201",451,"b42-34.2","b42-34","Drought","11/11-13",NA,NA,10.4,NA,NA,NA,"b42-34"
"202",452,"b42-34.6","b42-34","Control","11/11-13",NA,NA,9.2,NA,NA,NA,"b42-34"
"203",453,"NY1.1","NY1","Drought","11/11-13",NA,NA,9.9,NA,NA,NA,"NY1"
"204",454,"NY1.6","NY1","Control","11/11-13",NA,NA,8.3,NA,NA,NA,"NY1"
"205",455,"SC2.5","SC2","Drought","11/11-13",NA,NA,6.2,NA,NA,NA,"SC2"
"206",456,"SC2.7","SC2","Control","11/11-13",NA,NA,7.5,NA,NA,NA,"SC2"
"207",457,"T48.4","T48","Drought","11/11-13",NA,NA,8.3,NA,NA,NA,"T48"
"208",458,"T48.7","T48","Control","11/11-13",NA,NA,8.3,NA,NA,NA,"T48"
"209",459,"T52.3","T52","Drought","11/11-13",NA,NA,7.7,NA,NA,NA,"T52"
"210",460,"TX6704.1","TX6704","Drought","11/11-13",NA,NA,6.1,NA,NA,NA,"TX6704"
"211",461,"TX6704.6","TX6704","Control","11/11-13",NA,NA,6.3,NA,NA,NA,"TX6704"
"212",462,"TXNM0821.10","TXNM0821","Control","11/11-13",NA,NA,4.7,NA,NA,NA,"TXNM0821"
"213",463,"TXNM0821.4","TXNM0821","Drought","11/11-13",NA,NA,6.3,NA,NA,NA,"TXNM0821"
"214",464,"V60-96.3","V60-96","Drought","11/11-13",NA,NA,7.7,NA,NA,NA,"V60-96"
"215",465,"Vru42.1","Vru42","Drought","11/11-13",NA,NA,9.8,NA,NA,NA,"Vru42"
"216",466,"Vru42.10","Vru42","Control","11/11-13",NA,NA,9.7,NA,NA,NA,"Vru42"
"217",467,"9018.3","9018","Drought","11/11-13",NA,NA,8.2,NA,NA,NA,"9018"
"218",468,"9018.8","9018","Control","11/11-13",NA,NA,8.3,NA,NA,NA,"9018"
"219",469,"9031.4","9031","Drought","11/11-13",NA,NA,12.4,NA,NA,NA,"9031"
"220",470,"9031.7","9031","Control","11/11-13",NA,NA,9.6,NA,NA,NA,"9031"
"221",471,"9035.2","9035","Drought","11/11-13",NA,NA,10,NA,NA,NA,"9035"
"222",472,"9035.7","9035","Control","11/11-13",NA,NA,10.1,NA,NA,NA,"9035"
"223",473,"b40-14.2","b40-14","Drought","11/11-13",NA,NA,11.7,NA,NA,NA,"b40-14"
"224",474,"b40-14.6","b40-14","Control","11/11-13",NA,NA,10.4,NA,NA,NA,"b40-14"
"225",475,"b42-34.9","b42-34","Control","11/11-13",NA,NA,12.3,NA,NA,NA,"b42-34"
"226",476,"NY1.5","NY1","Drought","11/11-13",NA,NA,9.1,NA,NA,NA,"NY1"
"227",477,"NY1.9","NY1","Control","11/11-13",NA,NA,10.5,NA,NA,NA,"NY1"
"228",478,"SC2.9","SC2","Drought","11/11-13",NA,NA,8,NA,NA,NA,"SC2"
"229",479,"T48.2","T48","Drought","11/11-13",NA,NA,8.6,NA,NA,NA,"T48"
"230",480,"T48.6","T48","Control","11/11-13",NA,NA,9.4,NA,NA,NA,"T48"
"231",481,"T52.6","T52","Control","11/11-13",NA,NA,8.9,NA,NA,NA,"T52"
"232",482,"TX6704.3","TX6704","Drought","11/11-13",NA,NA,10,NA,NA,NA,"TX6704"
"233",483,"TX6704.9","TX6704","Control","11/11-13",NA,NA,8.3,NA,NA,NA,"TX6704"
"234",484,"TXNM0821.3","TXNM0821","Drought","11/11-13",NA,NA,7.9,NA,NA,NA,"TXNM0821"
"235",485,"TXNM0821.7","TXNM0821","Control","11/11-13",NA,NA,6.4,NA,NA,NA,"TXNM0821"
"236",486,"Vru42.5","Vru42","Drought","11/11-13",NA,NA,9.2,NA,NA,NA,"Vru42"
"237",487,"Vru42.6","Vru42","Control","11/11-13",NA,NA,11,NA,NA,NA,"Vru42"
"238",488,"9018.10","9018","Control","11/11-13",NA,NA,8,NA,NA,NA,"9018"
"239",489,"9018.4","9018","Drought","11/11-13",NA,NA,8.2,NA,NA,NA,"9018"
"240",490,"9031.2","9031","Drought","11/11-13",NA,NA,12.8,NA,NA,NA,"9031"
"241",491,"9031.9","9031","Control","11/11-13",NA,NA,13.9,NA,NA,NA,"9031"
"242",492,"9035.1","9035","Drought","11/11-13",NA,NA,8.4,NA,NA,NA,"9035"
"243",493,"9035.8","9035","Control","11/11-13",NA,NA,9.1,NA,NA,NA,"9035"
"244",494,"b40-14.9","b40-14","Control","11/11-13",NA,NA,12.3,NA,NA,NA,"b40-14"
