"","ID","species_geno","Treatment","Date","WPType","WP","Date_group"
"320","V60-96.10","V60-96","Control","12/2","LWP",7,"Dec 01 to 03"
"321","V60-96.5","V60-96","Drought","12/2","LWP",13.5,"Dec 01 to 03"
"322","Vru42.4","Vru42","Drought","12/2","LWP",14,"Dec 01 to 03"
"323","Vru42.7","Vru42","Control","12/2","LWP",14,"Dec 01 to 03"
"324","9018.5","9018","Drought","12/11","LWP",11.3,"Dec 11 to 18"
"325","9018.6","9018","Control","12/11","LWP",7,"Dec 11 to 18"
"326","9031.11","9031","Control","12/11","LWP",13.4,"Dec 11 to 18"
"327","9031.5","9031","Drought","12/11","LWP",13.9,"Dec 11 to 18"
"328","b40-14.10","b40-14","Control","12/11","LWP",10.8,"Dec 11 to 18"
"329","b42-34.6","b42-34","Control","12/11","LWP",13.9,"Dec 11 to 18"
"330","NY1.1","NY1","Drought","12/11","LWP",11.6,"Dec 11 to 18"
"331","NY1.6","NY1","Control","12/11","LWP",10.7,"Dec 11 to 18"
"332","SC2.5","SC2","Drought","12/11","LWP",11,"Dec 11 to 18"
"333","SC2.7","SC2","Control","12/11","LWP",7.8,"Dec 11 to 18"
"334","T48.4","T48","Drought","12/11","LWP",11.9,"Dec 11 to 18"
"335","T48.7","T48","Control","12/11","LWP",9.9,"Dec 11 to 18"
"336","T52.3","T52","Drought","12/11","LWP",13.9,"Dec 11 to 18"
"337","T52.7","T52","Control","12/11","LWP",11.4,"Dec 11 to 18"
"338","TX6704.6","TX6704","Control","12/11","LWP",10.9,"Dec 11 to 18"
"339","TXNM0821.10","TXNM0821","Control","12/11","LWP",10.2,"Dec 11 to 18"
"340","TXNM0821.4","TXNM0821","Drought","12/11","LWP",9.3,"Dec 11 to 18"
"341","V60-96.3","V60-96","Drought","12/11","LWP",13.3,"Dec 11 to 18"
"342","V60-96.8","V60-96","Control","12/11","LWP",11.4,"Dec 11 to 18"
"343","Vru42.1","Vru42","Drought","12/11","LWP",12.9,"Dec 11 to 18"
"344","Vru42.10","Vru42","Control","12/11","LWP",12.9,"Dec 11 to 18"
"345","9018.3","9018","Drought","12/11","LWP",14.5,"Dec 11 to 18"
"346","9035.2","9035","Drought","12/11","LWP",10.5,"Dec 11 to 18"
"347","9035.7","9035","Control","12/11","LWP",9,"Dec 11 to 18"
