"","X","ID","Treatment","ID.Order","Genotype","Species","Block","Date","pd_pot","md_pot","pd_pot_als","harvest_sm","GWC_top","GWC_bottom","stem_diam","canopy_biomass","perc_canopy","dry_root_bag","bag_tare","root_biomass","perc_root","root_g","total_root_length","sys_area","surface_area","srl","srsa","exud_time","exud","exud_flow","exud_gg","exp","species_geno"
"70",201,"NY1.2","Drought",42,"NY1","V. riparia",3,"12/16",NA,"",9.1,NA,0.210381484,0.104776783,4.44,16.4,NA,"19.8534",6.3807,13.4727,0.45,NA,NA,NA,NA,NA,"",74,"0.2133",0.0029,NA,NA,"V. riparia_NY1"
"71",202,"NY1.3","Drought",43,"NY1","V. riparia",5,"12/18",NA,"",11.1,NA,0.068694064,0.05730557,4.82,4.5,NA,"16.9065",6.3807,10.5258,0.7,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"72",203,"NY1.4","Drought",44,"NY1","V. riparia",4,"12/17",7.8,"11.9",NA,NA,0.143221321,0.097058751,4.86,17.1,NA,"21.7967",6.3807,15.416,0.47,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"73",204,"NY1.5","Drought",45,"NY1","V. riparia",2,"12/15",15.5,"11.6",8.5,NA,0.222710792,0.211425051,4.33,55.1,NA,"23.6261",6.3807,17.2454,0.24,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"74",205,"NY1.6","Control",46,"NY1","V. riparia",1,"12/11",24.2,"11.6",NA,NA,0.455519395,0.639064404,6.64,32.6,NA,"16.5971",6.3807,10.2164,0.24,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"75",206,"NY1.7","Control",47,"NY1","V. riparia",5,"12/18",NA,"",8.4,NA,0.288771082,0.448391669,3.45,65.8,NA,"32.9821",6.3807,26.6014,0.29,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"76",207,"NY1.8","Control",48,"NY1","V. riparia",3,"12/16",NA,"",11.05,NA,NA,NA,5.04,42.5,NA,"21.8936",6.3807,15.5129,0.27,NA,NA,NA,NA,NA,"",53,"0.4803",0.0091,NA,NA,"V. riparia_NY1"
"77",208,"NY1.9","Control",49,"NY1","V. riparia",2,"12/15",6.1,"10.2",9.1,NA,0.348100475,0.538955953,5.35,NA,NA,"18.0374",6.3807,11.6567,1,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"V. riparia_NY1"
"78",227,"T48.1","Drought",131,"T48","mustangensis",2,"12/16",9.9,"11.5",NA,NA,NA,NA,4.35,10.7,NA,"17.5182",6.3807,11.1375,0.51,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"79",228,"T48.10","Control",140,"T48","mustangensis",3,"12/17",NA,"",9.34,NA,NA,NA,4.7,49.5,NA,"20.5497",6.3807,14.169,0.22,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"80",229,"T48.2","Drought",132,"T48","mustangensis",4,"12/15",12.8,"11.6",11.7,NA,0.243041865,0.183535165,4.46,15.6,NA,"23.7869",6.3807,17.4062,0.53,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"81",230,"T48.3","Drought",133,"T48","mustangensis",2,"12/17",6.3,"10.2",11.1,NA,NA,NA,5.16,16.7,NA,"28.1833",6.3807,21.8026,0.57,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"82",231,"T48.4","Drought",134,"T48","mustangensis",4,"12/11",7,"11.9",14.1,NA,0.084137115,0.096475843,4.88,17.6,NA,"21.953",6.3807,15.5723,0.47,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"83",232,"T48.5","Drought",135,"T48","mustangensis",1,"12/18",NA,"",12.8,NA,0.09365134,0.063370872,4.63,6,NA,"20.3269",6.3807,13.9462,0.7,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"84",233,"T48.6","Control",136,"T48","mustangensis",5,"12/15",NA,"",9.2,NA,0.432201443,0.601363292,6.07,70,NA,"30.0877",6.3807,23.707,0.25,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"85",234,"T48.7","Control",137,"T48","mustangensis",2,"12/11",4.8,"9.2",10.92,NA,0.392742609,0.529476896,5.75,41.3,NA,"24.8933",6.3807,18.5126,0.31,NA,NA,NA,NA,NA,"",93,"0.2219",0.0024,NA,NA,"mustangensis_T48"
"86",235,"T48.8","Control",138,"T48","mustangensis",1,"12/16",5.4,"7.4",NA,NA,NA,NA,4.53,25.4,NA,"22.8962",6.3807,16.5155,0.39,NA,NA,NA,NA,NA,"",59,"0.5701",0.0097,NA,NA,"mustangensis_T48"
"87",236,"T48.9","Control",139,"T48","mustangensis",3,"12/18",NA,"",NA,NA,0.342289964,0.542051669,5.45,43.1,NA,"23.3341",6.3807,16.9534,0.28,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,"mustangensis_T48"
"88",237,"T52.1","Drought",121,"T52","V. aestivalis",2,"12/15",8.3,"11.3",6.1,NA,0.278180732,0.423826534,3.79,9.2,0.41,"20.13438",7.1611,12.9733,0.59,12.9733,11878.24266,27448.37475,5390.834067,915.59,"415.53",NA,"",NA,NA,NA,"V. aestivalis_T52"
"89",238,"T52.1","Drought",121,"T52","V. aestivalis",2,"12/15",8.3,"11.3",6.1,NA,0.278180732,0.423826534,3.79,9.2,0.41,"20.13438",7.1611,12.9733,0.59,12.9733,9455.311361,27635.97779,3429.828292,728.83,"264.38",NA,"",NA,NA,NA,"V. aestivalis_T52"
