"","X","ID","Genotype","Species","Treatment","Order.within.block","mPot..kg.","Dry.weight.of.soil..kg.","mH2O..kg.","Date","PWW","WA","BB","TW","POWW","PD.WT","midday.WT","POWW.NOTES","WU","tgt_swc","SWC","species_geno","PSWC","POSWC"
"106",106,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/04",6.54,0.311509749,1,6.851509749,6.86,NA,NA,NA,0.734829039,0.9,0.842716319940333,"acerifolia_9018",0.919055649241147,0.964024732996065
"107",107,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/07",6.615,6.595759517,2,6.619519499,6.615,NA,NA,NA,1.115,0.9,0.900750642412999,"acerifolia_9018",0.929595278246206,0.929595278246206
"108",108,"9018.6","9018","acerifolia","Control",21,7.116,4.219097493,2.644902507,"12/09",6.4,0.457269266,2,6.619519499,6.59,NA,NA,NA,0.557,0.9,0.85764702150513,"acerifolia_9018",0.89938167509837,0.926082068577853
"109",109,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"10/28",5.038,0.436399257,1,5.624399257,NA,NA,NA,NA,0.3090621168,0.8,0.52112480966316,"acerifolia_9018",0.850582475097079,0.850582475097079
"110",110,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"10/30",5.072,0.402399257,1,5.624399257,NA,NA,NA,NA,0.2454621168,0.8,0.539429734530296,"acerifolia_9018",0.856322809387135,0.856322809387135
"111",111,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/02",4.99,0.634399257,1,5.624399257,5.62,NA,NA,NA,0.2558621168,0.8,0.528446779610015,"acerifolia_9018",0.842478473746412,0.948843491473915
"112",112,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/04",5.21,0.414399257,1,5.624399257,5.62,NA,NA,NA,0.1675,0.8,0.704174058334522,"acerifolia_9018",0.879621813270302,0.948843491473915
"113",113,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/06",5.27,0.215959146,1,5.485959146,5.48,NA,NA,NA,0.214,0.8,0.749579449865536,"acerifolia_9018",0.889751814958636,0.925206820867804
"114",114,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/09",4.86,0.625959146,1,5.485959146,5.48,NA,NA,NA,0.368,0.8,0.655409789284638,"acerifolia_9018",0.820530136755023,0.925206820867804
"115",115,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/11",5.05,0.435959146,1,5.485959146,5.48,NA,NA,NA,0.260000000000001,0.8,0.698883985844086,"acerifolia_9018",0.852608475434746,0.925206820867804
"116",116,"9018.7","9018","acerifolia","Control",36,5.923,3.485795729,2.185204271,"11/13",5,0.485959146,1,5.485959146,5.48,NA,NA,NA,0.332,0.8,0.687443407802126,"acerifolia_9018",0.844166807361135,0.925206820867804
