"","ID","Genotype","Treatment","Date","LWP.area","species_geno","SWP.area","PD.area","WPType","WP"
"223","255189.01.10","255189.01","Control","12/11-18",62.30798611,"255189.01",59.37965278,94.22368056,"SWP",11.2
"224","255189.01.10","255189.01","Control","12/11-18",62.30798611,"255189.01",59.37965278,94.22368056,"LWP",13
"225","255189.01.10","255189.01","Control","12/11-18",62.30798611,"255189.01",59.37965278,94.22368056,"PD",5.7
"226","255189.01.2","255189.01","Drought","11/01",97.05416667,"255189.01",NA,NA,"SWP",NA
"227","255189.01.2","255189.01","Drought","11/01",97.05416667,"255189.01",NA,NA,"LWP",9.8
"228","255189.01.2","255189.01","Drought","11/01",97.05416667,"255189.01",NA,NA,"PD",NA
"229","255189.01.2","255189.01","Drought","11/16-17",91.36958333,"255189.01",NA,NA,"SWP",NA
"230","255189.01.2","255189.01","Drought","11/16-17",91.36958333,"255189.01",NA,NA,"LWP",9.5
"231","255189.01.2","255189.01","Drought","11/16-17",91.36958333,"255189.01",NA,NA,"PD",NA
"232","255189.01.2","255189.01","Drought","12/01-02",86.33534722,"255189.01",NA,NA,"SWP",NA
"233","255189.01.2","255189.01","Drought","12/01-02",86.33534722,"255189.01",NA,NA,"LWP",11
"234","255189.01.2","255189.01","Drought","12/01-02",86.33534722,"255189.01",NA,NA,"PD",NA
"235","255189.01.2","255189.01","Drought","12/11-18",66.85576389,"255189.01",63.17777778,102.1574306,"SWP",11.4
"236","255189.01.2","255189.01","Drought","12/11-18",66.85576389,"255189.01",63.17777778,102.1574306,"LWP",11.5
"237","255189.01.2","255189.01","Drought","12/11-18",66.85576389,"255189.01",63.17777778,102.1574306,"PD",9.5
"238","255189.01.2","255189.01","Drought","12/11-18",67.09722222,"255189.01",63.17777778,102.1574306,"SWP",11.4
"239","255189.01.2","255189.01","Drought","12/11-18",67.09722222,"255189.01",63.17777778,102.1574306,"LWP",11.5
"240","255189.01.2","255189.01","Drought","12/11-18",67.09722222,"255189.01",63.17777778,102.1574306,"PD",9.5
"241","255189.01.3","255189.01","Drought","11/9-11",24.355,"255189.01",NA,NA,"SWP",NA
"242","255189.01.3","255189.01","Drought","11/9-11",24.355,"255189.01",NA,NA,"LWP",7.2
"243","255189.01.3","255189.01","Drought","11/9-11",24.355,"255189.01",NA,NA,"PD",NA
"244","255189.01.3","255189.01","Drought","11/16-17",56.80375,"255189.01",NA,NA,"SWP",NA
"245","255189.01.3","255189.01","Drought","11/16-17",56.80375,"255189.01",NA,NA,"LWP",10.7
"246","255189.01.3","255189.01","Drought","11/16-17",56.80375,"255189.01",NA,NA,"PD",NA
"247","255189.01.3","255189.01","Drought","12/01-02",71.79645833,"255189.01",NA,NA,"SWP",NA
"248","255189.01.3","255189.01","Drought","12/01-02",71.79645833,"255189.01",NA,NA,"LWP",11.5
"249","255189.01.3","255189.01","Drought","12/01-02",71.79645833,"255189.01",NA,NA,"PD",NA
"250","255189.01.3","255189.01","Drought","12/11-18",43.06083333,"255189.01",57.11013889,61.69923611,"SWP",14.1
"251","255189.01.3","255189.01","Drought","12/11-18",43.06083333,"255189.01",57.11013889,61.69923611,"LWP",12
"252","255189.01.3","255189.01","Drought","12/11-18",43.06083333,"255189.01",57.11013889,61.69923611,"PD",10.5
"253","255189.01.4","255189.01","Drought","11/9-11",14.32555556,"255189.01",NA,NA,"SWP",NA
"254","255189.01.4","255189.01","Drought","11/9-11",14.32555556,"255189.01",NA,NA,"LWP",7
"255","255189.01.4","255189.01","Drought","11/9-11",14.32555556,"255189.01",NA,NA,"PD",NA
"256","255189.01.4","255189.01","Drought","11/16-17",41.256875,"255189.01",NA,NA,"SWP",NA
"257","255189.01.4","255189.01","Drought","11/16-17",41.256875,"255189.01",NA,NA,"LWP",8.3
"258","255189.01.4","255189.01","Drought","11/16-17",41.256875,"255189.01",NA,NA,"PD",NA
"259","255189.01.5","255189.01","Drought","11/16-17",80.36972222,"255189.01",NA,NA,"SWP",NA
"260","255189.01.5","255189.01","Drought","11/16-17",80.36972222,"255189.01",NA,NA,"LWP",7.7
"261","255189.01.5","255189.01","Drought","11/16-17",80.36972222,"255189.01",NA,NA,"PD",NA
"262","255189.01.5","255189.01","Drought","12/01-02",90.67284722,"255189.01",NA,NA,"SWP",NA
"263","255189.01.5","255189.01","Drought","12/01-02",90.67284722,"255189.01",NA,NA,"LWP",12.5
"264","255189.01.5","255189.01","Drought","12/01-02",90.67284722,"255189.01",NA,NA,"PD",NA
"265","255189.01.5","255189.01","Drought","12/11-18",39.45034722,"255189.01",58.45027778,63.43416667,"SWP",11.6
"266","255189.01.5","255189.01","Drought","12/11-18",39.45034722,"255189.01",58.45027778,63.43416667,"LWP",14.5
"267","255189.01.5","255189.01","Drought","12/11-18",39.45034722,"255189.01",58.45027778,63.43416667,"PD",8.1
"268","255189.01.6","255189.01","Control","11/9-11",38.88305556,"255189.01",NA,NA,"SWP",NA
"269","255189.01.6","255189.01","Control","11/9-11",38.88305556,"255189.01",NA,NA,"LWP",8
"270","255189.01.6","255189.01","Control","11/9-11",38.88305556,"255189.01",NA,NA,"PD",NA
"271","255189.01.6","255189.01","Control","11/16-17",109.2238194,"255189.01",NA,NA,"SWP",NA
"272","255189.01.6","255189.01","Control","11/16-17",109.2238194,"255189.01",NA,NA,"LWP",8.5
"273","255189.01.6","255189.01","Control","11/16-17",109.2238194,"255189.01",NA,NA,"PD",NA
"274","255189.01.6","255189.01","Control","12/01-02",63.10881944,"255189.01",NA,NA,"SWP",NA
"275","255189.01.6","255189.01","Control","12/01-02",63.10881944,"255189.01",NA,NA,"LWP",12.4
"276","255189.01.6","255189.01","Control","12/01-02",63.10881944,"255189.01",NA,NA,"PD",NA
"277","255189.01.6","255189.01","Control","12/11-18",NA,"255189.01",85.05694444,90.66361111,"SWP",9.1
