ID,Genotype,Treatment,Date,LWP,SWP,PD,LWP.area,SWP.area,PD.area
2214.4.7,2214.4,Control,11.17,9,,,,,
255189.01.4,255189.01,Drought,11.17,8,,,,,
255189.01.6,255189.01,Control,11.17,8,,,,,
2970.6,2970,Drought,11.17,7,,,,,
588155.01.5,588155.01,Drought,11.17,12,,,,,
588155.01.6,588155.01,Control,11.17,9,,,,,
9018.1,9018,Drought,11.17,8,,,,,
9018.9,9018,Control,11.17,7,,,,,
9025.1,9025,Drought,11.17,10,,,,,
9025.7,9025,Control,11.17,9,,,,,
9031.6,9031,Control,11.17,11,,,,,
9035.3,9035,Drought,11.17,9,,,,,
9035.9,9035,Control,11.17,7,,,,,
ANU65.4,ANU65,Drought,11.17,9,,,,,
ANU65.6,ANU65,Control,11.17,7,,,,,
b40-14.5,b40-14,Drought,11.17,12,,,,,
b40-14.7,b40-14,Control,11.17,12,,,,,
b42-24.2,b42-24,Drought,11.17,10,,,,,
b42-24.8,b42-24,Control,11.17,8,,,,,
b42-34.4,b42-34,Drought,11.17,13,,,,,
b42-34.7,b42-34,Control,11.17,9,,,,,
C56-94.10,C56-94,Control,11.17,8,,,,,
C56-94.2,C56-94,Drought,11.17,9,,,,,
CC12.4,CC12,Drought,11.17,11,,,,,
CC12.7,CC12,Control,11.17,9,,,,,
Haines.3,Haines,Drought,11.17,7,,,,,
Haines.8,Haines,Control,11.17,12,,,,,
Haines2.4,Hanes2,Control,11.17,10,,,,,
NY1.10,NY1,Control,11.17,14,,,,,
NY1.4,NY1,Drought,11.17,10,,,,,
OCK1-S02.3,OCK1-S02,Drought,11.17,10,,,,,
OCK1-S02.9,OCK1-S02,Control,11.17,8,,,,,
SC2.1,SC2,Control,11.17,6,,,,,
T48.10,T48,Control,11.17,9,,,,,
T48.3,T48,Drought,11.17,10,,,,,
T52.5,T52,Drought,11.17,11,,,,,
T52.8,T52,Control,11.17,8,,,,,
TX6704.2,TX6704,Drought,11.17,12,,,,,
TX6704.7,TX6704,Control,11.17,9,,,,,
TXNM0821.1,TXNM0821,Drought,11.17,7,,,,,
TXNM0821.5,TXNM0821,Control,11.17,9,,,,,
TXNM0821.8,TXNM0821,Drought,11.17,7,,,,,
UT12-075.5,UT12-075,Drought,11.17,8,,,,,
UT12-075.9,UT12-075,Control,11.17,8,,,,,
V57-96.3,V57-96,Drought,11.17,13,,,,,
V60-96.4,V60-96,Drought,11.17,8,,,,,
V60-96.9,V60-96,Control,11.17,8,,,,,
Vru42.3,Vru42,Drought,11.17,11,,,,,
Vru42.9,Vru42,Control,11.17,8,,,,,
1149.9,1149,Control,11.17,10,,,,,
2214.4.10,2214.4,Control,11.17,9,,,,,
2214.4.5,2214.4,Drought,11.17,9,,,,,
255189.01.10,255189.01,Control,11.17,7,,,,,
255189.01.3,255189.01,Drought,11.17,10,,,,,
2970.1,2970,Control,11.17,7,,,,,
2970.4,2970,Drought,11.17,9,,,,,
588155.01.7,588155.01,Control,11.17,12,,,,,
9018.2,9018,Drought,11.17,10,,,,,
9018.7,9018,Control,11.17,8,,,,,
9025.2,9025,Drought,11.17,9,,,,,
9031.8,9031,Control,11.17,12,,,,,
9035.4,9035,Drought,11.17,11,,,,,
9035.6,9035,Control,11.17,7,,,,,
ANU65.5,ANU65,Drought,11.17,7,,,,,
ANU65.7,ANU65,Control,11.17,8,,,,,
b40-14.8,b40-14,Control,11.17,12,,,,,
b42-24.4,b42-24,Drought,11.17,12,,,,,
b42-24.9,b42-24,Control,11.17,9,,,,,
b42-34.8,b42-34,Control,11.17,8,,,,,
C56-94.4,C56-94,Drought,11.17,8,,,,,
C56-94.9,C56-94,Control,11.17,7,,,,,
CC12.10,CC12,Control,11.17,8,,,,,
CC12.5,CC12,Drought,11.17,13,,,,,
Haines2.3,Hanes2,Drought,11.17,13,,,,,
NY1.3,NY1,Drought,11.17,13,,,,,
NY1.7,NY1,Control,11.17,10,,,,,
OCK1-S02.5,OCK1-S02,Drought,11.17,11,,,,,
OCK1-S02.7,OCK1-S02,Control,11.17,9,,,,,
SC2.2,SC2,Drought,11.17,12,,,,,
SC2.6,SC2,Control,11.17,6,,,,,
T48.5,T48,Drought,11.17,9,,,,,
T48.9,T48,Control,11.17,10,,,,,
T52.2,T52,Drought,11.17,9,,,,,
T52.9,T52,Control,11.17,12,,,,,
TX6704.10,TX6704,Control,11.17,7,,,,,
TX6704.4,TX6704,Drought,11.17,12,,,,,
TXNM0821.6,TXNM0821,Control,11.17,8,,,,,
V57-96.7,V57-96,Control,11.17,10,,,,,
Vru42.7,Vru42,Control,11.17,10,,,,,
1149.5,1149,Drought,12.1,14,,,,,
2214.4.3,2214.4,Drought,12.1,14,,,,,
2214.4.8,2214.4,Control,12.1,11,,,,,
255189.01.1,255189.01,Drought,12.1,13,,,,,
255189.01.7,255189.01,Control,12.1,11,,,,,
2970.1,2970,Drought,12.1,11,,,,,
2970.9,2970,Control,12.1,13,,,,,
9018.5,9018,Drought,12.1,11,,,,,
9018.6,9018,Control,12.1,13,,,,,
9025.3,9025,Drought,12.1,14,,,,,
9025.8,9025,Control,12.1,14,,,,,
9031.1,9031,Control,12.1,14,,,,,
9031.11,9031,Control,12.1,14,,,,,
ANU65.8,ANU65,Control,12.1,10,,,,,
b40-14.1,b40-14,Drought,12.1,12,,,,,
b40-14.10,b40-14,Control,12.1,10,,,,,
b42-24.1,b42-24,Drought,12.1,13,,,,,
b42-24.7,b42-24,Control,12.1,10,,,,,
b42-34.2,b42-34,Drought,12.1,14,,,,,
b42-34.6,b42-34,Control,12.1,14,,,,,
C56-94.5,C56-94,Drought,12.1,11,,,,,
C56-94.7,C56-94,Control,12.1,9,,,,,
CC12.1,CC12,Drought,12.1,14,,,,,
CC12.9,CC12,Control,12.1,13,,,,,
Haines.1,Haines,Control,12.1,12,,,,,
Haines2.1,Hanes2,Drought,12.1,12,,,,,
OCK1-S02.10,OCK1-S02,Control,12.1,12,,,,,
SC2.5,SC2,Drought,12.1,14,,,,,
SC2.7,SC2,Control,12.1,11,,,,,
T48.4,T48,Drought,12.1,10,,,,,
T48.7,T48,Control,12.1,9,,,,,
T52.3,T52,Drought,12.1,13,,,,,
T52.7,T52,Control,12.1,10,,,,,
TX6704.1,TX6704,Drought,12.1,13,,,,,
TX6704.6,TX6704,Control,12.1,13,,,,,
TXNM0821.10,TXNM0821,Control,12.1,12,,,,,
TXNM0821.4,TXNM0821,Drought,12.1,9,,,,,
UT12-075.6,UT12-075,Control,12.1,13,,,,,
V57-96.10,V57-96,Control,12.1,13,,,,,
V60-96.3,V60-96,Drought,12.1,10,,,,,
V60-96.8,V60-96,Control,12.1,13,,,,,
1149.8,1149,Control,12.1,14,,,,,
2214.4.9,2214.4,Control,12.1,9,,,,,
255189.01.2,255189.01,Drought,12.1,11,,,,,
255189.01.9,255189.01,Control,12.1,13,,,,,
9018.3,9018,Drought,12.1,10,,,,,
9025.1,9025,Control,12.1,12,,,,,
9025.5,9025,Drought,12.1,11,,,,,
9031.4,9031,Drought,12.1,14,,,,,
9035.7,9035,Control,12.1,9,,,,,
ANU65.3,ANU65,Drought,12.1,12,,,,,
ANU65.9,ANU65,Control,12.1,12,,,,,
b40-14.6,b40-14,Control,12.1,11,,,,,
b42-24.6,b42-24,Control,12.1,10,,,,,
b42-34.1,b42-34,Drought,12.1,14,,,,,
b42-34.9,b42-34,Control,12.1,11,,,,,
C56-94.3,C56-94,Drought,12.1,10,,,,,
C56-94.6,C56-94,Control,12.1,10,,,,,
CC12.8,CC12,Control,12.1,14,,,,,
Haines.7,Haines,Drought,12.1,11,,,,,
Haines2.10,Hanes2,Drought,12.1,12,,,,,
Haines2.9,Hanes2,Control,12.1,9,,,,,
