ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_pot,md_pot,pd_pot_als,harvest_sm,GWC_top,GWC_bottom,stem_diam,canopy_biomass,perc_canopy,dry_root_bag,bag_tare,root_biomass,perc_root,root_g,total_root_length,sys_area,surface_area,srl,srsa,exud_time,exud,exud_flow,exud_gg,exp,epson_file,dpi,mask_imagej,brown_imagej,perc_sub,perc_white,figure,figure_class
2214.4.2,Drought,52,2214.4,bloodworthiana,4,2020,12/17/20,8.3,11.6,,,,,3.94,9.9,,25.8947,6.3807,19.514,0.66,,,,,,,,,,,,,,,,,,,
2214.4.3,Drought,53,2214.4,bloodworthiana,1,2020,12/11/20,5.2,13.5,,,0.155447418,0.2769031,4.36,10.3,,10.152,6.3807,3.7713,0.27,,,,,,,,,,,,,,,,,,,
2214.4.4,Drought,54,2214.4,bloodworthiana,2,2020,12/15/20,8.1,7.5,,,0.244484429,0.217725742,3.55,7.1,,8.8985,6.3807,2.5178,0.26,,,,,,,,,,,,,,,,,,,
2214.4.5,Drought,55,2214.4,bloodworthiana,5,2020,12/18/20,6.2,13,,,0.066875507,0.497865587,4.08,5.8,,8.8604,6.3807,2.4797,0.3,,,,,,,67,0.8827,0.0132,,,,,,,,,,
2214.4.6,Control,56,2214.4,bloodworthiana,3,2020,12/16/20,7.5,10.3,,,0.394662047,0.587083333,5.12,53.4,,14.2593,6.3807,7.8786,0.13,,,,,,,,,,,,,,,,,,,
2214.4.7,Control,57,2214.4,bloodworthiana,4,2020,12/18/20,13,,,,0.310304227,0.434799779,5.35,65,,11.5766,6.3807,5.1959,0.07,,,,,,,145,0.0476,0.0003,,,,,,,,,,
2214.4.8,Control,58,2214.4,bloodworthiana,1,2020,12/11/20,5.7,10.9,,,0.429895127,0.597432966,4.75,35.1,,10.6845,6.3807,4.3038,0.11,,,,,,,,,,,,,,,,,,,
2214.4.9,Control,59,2214.4,bloodworthiana,2,2020,12/15/20,6.8,9.4,,,0.520598857,0.540089563,5.39,50.6,,10.5335,6.3807,4.1528,0.08,,,,,,,146,0.2692,0.0018,,,,,,,,,,
255189.01.1,Drought,272,255189.01,V. riparia,1,2020,12/11/20,6.7,15.2,,,0.151917933,0.126381824,6.86,12.3,,40.6866,6.3807,34.3059,0.74,,,,,,,,,,,,,,,,,,,
255189.01.10,Control,281,255189.01,V. riparia,5,2020,12/18/20,8.5,12.5,,,,,9.17,70.1,,22.0785,6.3807,15.6978,0.18,,,,,,,,,,,,,,,,,,,
255189.01.2,Drought,273,255189.01,V. riparia,2,2020,12/15/20,6.4,9.6,,,0.115597443,0.171618904,7.6,18.3,,25.8182,6.3807,19.4375,0.52,,,,,,,,,,,,,,,,,,,
255189.01.3,Drought,274,255189.01,V. riparia,5,2020,12/18/20,16.1,24.9,,,0.05961492,0.054155064,5.39,7.1,,18.9195,6.3807,12.5388,0.64,,,,,,,,,,,,,,,,,,,
255189.01.4,Drought,275,255189.01,V. riparia,4,2020,12/17/20,7.1,11.5,,,,,5.11,10,,23.7262,6.3807,17.3455,0.63,,,,,,,,,,,,,,,,,,,
255189.01.5,Drought,276,255189.01,V. riparia,3,2020,12/16/20,9.5,14.8,,,0.128228493,0.094206065,6.015,20.7,,21.8168,6.3807,15.4361,0.43,,,,,,,,,,,,,,,,,,,
255189.01.6,Control,277,255189.01,V. riparia,4,2020,12/17/20,7,10.2,,,,,6.4,110.8,0.86,31.6,6.3807,17.736,0.14,17.736,,,,,,,,,,,,,,,,,,
255189.01.7,Control,278,255189.01,V. riparia,1,2020,12/11/20,5.8,14,,,,,7.34,82.1,,35.5131,6.3807,29.1324,0.26,,,,,,,,,,,,,,,,,,,
