ID,Genotype,Species,Treatment,Order within block,mPot (kg),Dry weight of soil (kg),mH2O (kg),Date,PWW,WA,BB,TW,POWW,PD.WT,midday.WT,POWW.NOTES,WU,tgt_swc,SWC
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/02,5.33,1.031823584,1,6.361823584,6.36,NA,NA,NA,0.6532864438000001,0.8,0.46606704767787666
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/04,5.77,0.591823584,1,6.361823584,6.36,NA,NA,NA,0.34750000000000075,0.8,0.6836388454302837
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/06,5.63,0.731823584,1,6.361823584,6.36,NA,NA,NA,0.5940000000000004,0.8,0.6561973574254758
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/09,5.14,1.221823584,1,6.361823584,6.37,NA,NA,NA,0.9680000000000006,0.8,0.5601521494086473
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/11,5.71,0.651823584,2,6.361823584,6.36,NA,NA,NA,0.4900000000000001,0.8,0.6738383139999953
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/13,5.48,0.881823584,2,6.361823584,6.36,NA,NA,NA,0.7319999999999999,0.8,0.62679576313461
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/20,5.31,1.306911792,2,6.616911792,6.62,NA,NA,NA,1.1625000000000008,0.9,0.6581574637115332
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/23,5.08,1.536911792,2,6.616911792,6.62,NA,NA,NA,1.292,0.9,0.5993542751298014
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/25,5.57,1.046911792,2,6.616911792,6.61,NA,NA,NA,0.8482580779999999,0.9,0.6953994831466299
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/27,5.422,1.194911792,2,6.616911792,6.6265,NA,NA,NA,1.0194000000000005,0.9,0.6644298038269179
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,11/30,5.73,0.886911792,2,6.616911792,6.61,NA,NA,NA,1.1901999999999997,0.9,0.7280352528094911
1149.7,1149,treleasei,Control,49,6.872,4.06911792,2.55088208,12/02,5.99,0.626911792,2,6.616911792,6.62,NA,NA,NA,1.0348290390000001,0.9,0.7757638408749966
