ID,trt,ID Order,genotype,species,block,year,harvest_date,pd_mpa,pd_pot,md_mpa,md_pot,figure,pd_pot_als,sm_wet_top,sm_wet_bot,sm_dry_top,sm_dry_bot,GWC_top,GWC_bottom,stem_diam,canopy_biomass,dry_root_bag,bag_tare,root_biomass,root_g,exud_time,exud,exud_flow,exud_gg,exud_ro,exud_s,exp,parameter,epson_file,mask_imagej,brown_imagej,perc_white
588155.01.3,Drought,113,588155.01,palmata,5,2020,12/18/2020,,6.5,,11.1,,,,,,,0.056,0.057,4.14,7.90,13.78240,,,,,,,,,,,,,,,
588155.01.4,Drought,114,588155.01,palmata,1,2020,12/11/2020,,7.5,,15.5,,,,,,,0.135,0.080,4.13,9.20,19.24150,,,,,,,,,,,,,,,
588155.01.5,Drought,115,588155.01,palmata,4,2020,12/17/2020,,5,,8.8,,,10.0477,11.0878,,,0.163,0.096,5.40,14.30,26.89450,,,,,,,,,,,,,,,
588155.01.6,Control,116,588155.01,palmata,4,2020,12/17/2020,,8,,9.3,,,10.9847,11.1857,,,0.414,0.488,4.90,40.90,23.87760,,,,,,,,,,,,,,,
588155.01.7,Control,117,588155.01,palmata,5,2020,12/18/2020,,8.9,,12.9,,,,,,,0.323,0.478,5.68,43.10,33.08680,,,,,,,,,,,,,,,
588155.01.8,Control,118,588155.01,palmata,1,2020,12/11/2020,,4.7,,14,,,,,,,,0.452,5.69,36.70,27.12750,,,,,,,,,,,,,,,
588155.01.9,Control,119,588155.01,palmata,3,2020,12/16/2020,,6.5,,8.6,,,11.3911,12.0396,,,0.414,0.677,5.40,41.10,34.74560,,,,,,,,,,,,,,,
ANU65.1,Drought,81,ANU65,arizonica,3,2020,12/16/2020,,,,,,,9.3023,9.5316,,,0.050,0.068,6.02,23.80,22.63220,,,,188,0.03188,0.0001695744681,,,,,,,,,
ANU65.10,Control,90,ANU65,arizonica,3,2020,12/16/2020,,6,,11.2,,,10.4881,10.3145,,,,,9.59,74.30,23.79500,,,,60,0.79621,0.01327016667,,,,,,,,,
ANU65.2,Drought,82,ANU65,arizonica,1,2020,12/11/2020,,5.1,,13,,,,,,,0.115,0.166,7.25,20.50,13.81680,,,,,,,,,,,,,,,
ANU65.3,Drought,83,ANU65,arizonica,2,2020,12/15/2020,,6.2,,10,,,10.7281,10.7013,,,0.152,0.128,5.45,26.10,16.75450,,,,,,,,,,,,,,,
ANU65.4,Drought,84,ANU65,arizonica,4,2020,12/17/2020,,7,,10.9,,,10.8737,9.3740,,,,,5.97,16.30,22.08080,,,,,,,,,,,,,,,
ANU65.5,Drought,85,ANU65,arizonica,5,2020,12/18/2020,,15.1,,16,,,,,,,,,5.17,4.20,14.82440,,,,,,,,,,,,,,,
ANU65.6,Control,86,ANU65,arizonica,4,2020,12/17/2020,,14,,12,,,9.4712,10.6366,,,,,7.54,88.10,21.14910,,,,,,,,,,,,,,,
ANU65.7,Control,87,ANU65,arizonica,5,2020,12/18/2020,,18.1,,17.7,,,,,,,,,7.40,87.10,19.23150,,,,,,,,,,,,,,,
ANU65.8,Control,88,ANU65,arizonica,1,2020,12/11/2020,,5.8,,8.5,,,,,,,0.410,0.511,7.30,54.50,14.56530,,,,88,0.23929,0.002719204545,,,,,,,,,
ANU65.9,Control,89,ANU65,arizonica,2,2020,12/15/2020,,8.5,,12.4,,,10.4212,11.4873,,,0.320,0.465,7.13,92.80,25.05830,,,,,,,,,,,,,,,
b40-14.1,Drought,101,b40-14,arizonica,1,2020,12/11/2020,,26,,15.7,,17.43,,,,,0.138,0.118,,24.9,17.66940,7.1611,10.5083,10.5083,,,,,,,,,,,,
b40-14.10,Control,110,b40-14,arizonica,1,2020,12/11/2020,,7,,10.4,B40-10_C_01_10X_BF,10.9,,,,,0.292,0.404,,90.8,19.72250,7.1611,12.5614,,,,,,,,,,B40-10_C_R2_20201214_13053093,1.905,1.23,0.3543307087
b40-14.10,Control,110,b40-14,arizonica,1,2020,12/11/2020,,7,,10.4,B40-10_C_01_10X_BF,10.9,,,,,0.292,0.404,,90.8,19.72250,7.1611,12.5614,12.5614,,,,,,,,,B40-10_C_R1_20201214_13000101,0.175,0.112,0.36
b40-14.2,Drought,102,b40-14,arizonica,2,2020,12/15/2020,,7,,14.5,,,10.7413,9.4755,,,0.127,0.084,4.90,21,13.40175,7.1611,6.2407,6.2407,,,,,,,,,B40-2_D_2_R1_20201220_16573022.tif,1.749,1.397,0.2012578616
b40-14.2,Drought,102,b40-14,arizonica,2,2020,12/15/2020,,7,,14.5,,,10.7413,9.4755,,,0.127,0.084,4.90,21,13.40175,7.1611,6.2407,,,,,,,,,,B40-2_D_2_R2_20201220_17021087.tif,1.042,0.795,0.2370441459
b40-14.2,Drought,102,b40-14,arizonica,2,2020,12/15/2020,,7,,14.5,,,10.7413,9.4755,,,0.127,0.084,4.90,21,13.40175,7.1611,6.2407,,,,,,,,,,B40-2_D_2_R3_20201220_17054647.tif,0.419,0.315,0.2482100239
b40-14.2,Drought,102,b40-14,arizonica,2,2020,12/15/2020,,7,,14.5,,,10.7413,9.4755,,,0.127,0.084,4.90,21,13.40175,7.1611,6.2407,,,,,,,,,,B40-2_D_2_R3_20201220_17054647.tif,0.313,0.221,0.2939297125
