ID,Genotype,Species,Treatment,Block,11.9.lwp,11.9.lwp.area,11.10.lwp,11.10.lwp.area,11.11.pd,11.11.lwp,11.11.lwp.area,11.12.pd,11.13.pd,11.16.lwp,11.16.lwp.area,11.17.lwp,11.17.lwp.area,11.18.als.pd,12.1.pd,12.1.lwp,12.1.lwp.area,12.2.pd,12.2.lwp,12.2.lwp.area,12.3.pd,12.11.pd,12.11.pd.area,12.11.swp,12.11.swp.area,12.11.lwp,12.11.lwp.area,12.15.pd,12.15.pd.area,12.15.swp,12.15.swp.area,12.15.lwp,12.15.lwp.area,12.16.pd,12.16.pd.area,12.16.swp,12.16.swp.area,12.16.lwp,12.16.lwp.area,12.17.pd,12.17.pd.area,12.17.swp,12.17.swp.area,12.17.lwp,12.18.pd,12.18.pd.area,12.18.swp,12.18.swp.area,12.18.lwp,12.18.lwp.area
b42-34.9,b42-34,cinerea,Control,2,,,14.4,36.50555556,12.3,,,,,11.4,49.47229167,,,10.9,8.4,11,45.14291667,,,,,,,,,,,8.5,44.78736111,12.4,37.85194444,12.6,61.11465278,,,,,,,,,,,,,,,,,
C56-94.3,C56-94,rotundifolia var. munsoniana,Drought,2,,,9.8,58.75944444,8.8,,,,8.1,10.4,51.16791667,,,9,8,10.5,47.14326389,,,,,,,,,,,6.4,51.79486111,11.1,38.35631944,10.5,41.71256944,,,,,,,,,,,,,,,,,
C56-94.6,C56-94,rotundifolia var. munsoniana,Control,2,,,11,MISSING,7.3,,,,,9.1,63.31854167,,,7.8,7,10.5,63.68361111,,,,,,,,,10,MISSING,8.6,68.206875,8.7,36.11625,10,36.17673611,,,,,,,,,,,,,,,,,
CC12.3,CC12,californica,Drought,2,,,8.6,69.455,5.5,,,,,9.9,42.92423611,,,,6,15,69.09333333,,,,,,,,,11.5,MISSING,6.5,72.69444444,12.5,MISSING,11.5,77.41458333,,,,,,,,,,,,,,,,,
CC12.8,CC12,californica,Control,2,,,7.9,52.92166667,7.1,,,,,10.2,82.63625,,,,6.3,14.5,92.10326389,,,,,,,,,,,5.5,64.36375,9.3,78.11020833,9.6,90.48729167,,,,,,,,,,,,,,,,,
Haines.7,Haines,shuttleworthii,Drought,2,,,10.4,53.23916667,,,,,6.1,,,,,,7.7,11,29.17333333,,,,,4.1,,11.5,30.779375,12.9,29.50534722,,,,,12.9,68.62236111,,,,,,,,,,,,,,,,,
Haines2.10,Hanes2,shuttleworthii,Drought,2,,,12.9,89.17166667,9,,,,,8.5,74.35333333,,,,5.8,12.5,70.37430556,,,,,,,,,,,7.6,79.47097222,12.1,59.97347222,11,56.89694444,,,,,,,,,,,,,,,,,
Haines2.2,Hanes2,shuttleworthii,Drought,2,,,11.1,57.41611111,8.8,,,,,8.5,58.59326389,,,,5,15,57.94472222,,,,,,,,,,,6.4,67.471875,13.4,71.05305556,14.5,MISSING,,,,,,,,,,,,,,,,,
Haines2.9,Hanes2,shuttleworthii,Control,2,,,8.7,66.10722222,8.5,,,,,8.6,66.94375,,,,8.3,9.5,135.4078472,,,,,,,,,10,MISSING,7.3,109.7135417,9.3,141.1111806,10,122.0667361,,,,,,,,,,,,,,,,,
NY1.5,NY1,riparia,Drought,2,,,11.7,36.89694444,9.1,,,,,11,46.86118056,,,8.5,6.8,13.5,44.74347222,,,,,,,,,,,6.3,55.01347222,10.6,43.46381944,12.9,38.95375,,,,,,,,,,,,,,,,,
NY1.9,NY1,riparia,Control,2,,,10.4,54.46138889,10.5,,,,,13,57.08729167,,,9.1,6,15.5,64.49631944,,,,,,,,,,,8,109.7648611,7.4,71.47409722,14.6,52.84916667,,,,,,,,,,,,,,,,,
OCK1-S02.4,OCK1-S02,acerifolia,Drought,2,,,,Dead,,,,,,,,,,,,,not enough leaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCK1-S02.8,OCK1-S02,acerifolia,Control,2,,,9.8,139.4094444,8,,,,,11,106.4516667,,,,7.9,15,MISSING,,,,,,,,,12,MISSING,9.8,82.27729167,12,102.1755556,12,94.733125,,,,,,,,,,,,,,,,,
SC2.9,SC2,girdiana,Drought,2,,,,not enough leaves,8,,,,,9.6,44.45805556,,,,5.1,11,50.77215278,,,,,,,,,10.5,MISSING,5.3,43.88847222,9,46.11590278,10.5,39.81041667,,,,,,,,,,,,,,,,,
T48.2,T48,mustangensis,Drought,2,,,9.7,68.03972222,8.6,,,,,8.3,63.34069444,,,11.7,7.3,14.5,43.514375,,,,,,,,,,,7,63.80965278,14.5,54.58694444,7.5,68.15659722,,,,,,,,,,,,,,,,,
