ID;Genotype;Treatment;Date;LWP;SWP;PD;LWP.area;SWP.area;PD.area
2970.9;2970;Control;11.16;10,700;NA;NA;52.30430556;NA;NA
588155.01.4;588155.01;Drought;11.16;12,600;NA;NA;20.82388889;NA;NA
588155.01.8;588155.01;Control;11.16;12,400;NA;NA;NA;NA;NA
9018.5;9018;Drought;11.16;11,700;NA;NA;25.71104167;NA;NA
9018.6;9018;Control;11.16;10,900;NA;NA;58.88131944;NA;NA
9031.10;9031;Control;11.16;12,400;NA;NA;43.70430556;NA;NA
9031.5;9031;Drought;11.16;11,100;NA;NA;64.74284722;NA;NA
ANU65.2;ANU65;Drought;11.16;9,700;NA;NA;35.41701389;NA;NA
ANU65.8;ANU65;Control;11.16;11,800;NA;NA;72.30826389;NA;NA
b40-14.1;b40-14;Drought;11.16;10,300;NA;NA;31.51347222;NA;NA
b42-24.1;b42-24;Drought;11.16;10,000;NA;NA;39.58930556;NA;NA
b42-24.7;b42-24;Control;11.16;10,500;NA;NA;47.86034722;NA;NA
b42-34.2;b42-34;Drought;11.16;12,700;NA;NA;28.66465278;NA;NA
b42-34.6;b42-34;Control;11.16;14,000;NA;NA;37.10791667;NA;NA
C56-94.5;C56-94;Drought;11.16;12,700;NA;NA;44.44368056;NA;NA
C56-94.7;C56-94;Control;11.16;9,600;NA;NA;57.82951389;NA;NA
CC12.1;CC12;Drought;11.16;9,100;NA;NA;39.35861111;NA;NA
CC12.9;CC12;Control;11.16;10,600;NA;NA;79.07270833;NA;NA
Haines.1;Haines;Control;11.16;7,900;NA;NA;63.73270833;NA;NA
Haines2.1;Hanes2;Drought;11.16;10,000;NA;NA;111.4082639;NA;NA
Haines2.7;Hanes2;Control;11.16;8,700;NA;NA;93.00076389;NA;NA
NY1.1;NY1;Drought;11.16;12,900;NA;NA;49.27194444;NA;NA
NY1.6;NY1;Control;11.16;12,300;NA;NA;43.54118056;NA;NA
